stage	start_epoch	end_epoch	duration_sec
trim_adapter_only	0	0	1118
align_adapter_only	0	0	3611
count_adapter_only	0	0	297
mode_adapter_only_total	0	0	5026
trim_untrimmed	0	0	0
align_untrimmed	0	0	12391
count_untrimmed	0	0	282
mode_untrimmed_total	0	0	12673
trim_P5	0	0	816
align_P5	0	0	3947
count_P5	0	0	26
mode_P5_total	0	0	4789
trim_P20	0	0	609
align_P20	0	0	3905
count_P20	0	0	31
mode_P20_total	0	0	4545
trim_P10	0	0	704
align_P10	0	0	3796
count_P10	0	0	31
mode_P10_total	0	0	4531
pipeline_total	0	0	31564
