project_id	n_srrs	A_helpful	A_neutral	A_harmful	P5_helpful	P5_neutral	P5_harmful	P10_helpful	P10_neutral	P10_harmful	P20_helpful	P20_neutral	P20_harmful	P35_helpful	P35_neutral	P35_harmful
PRJNA1014965	37	0	37	0	0	37	0	0	37	0	0	37	0	0	2	35
PRJNA1105191	33	0	33	0	0	33	0	0	33	0	0	33	0	0	7	26
PRJNA1120369	38	0	38	0	0	38	0	0	36	2	1	25	12	0	21	17
PRJNA1127555	12	0	10	2	0	11	1	0	10	2	0	5	7	0	0	12
PRJNA1133701	36	0	36	0	0	36	0	0	36	0	0	36	0	0	32	4
PRJNA1165739	40	0	40	0	0	40	0	0	40	0	0	39	1	0	22	18
PRJNA1175639	16	0	16	0	0	16	0	0	16	0	0	16	0	1	0	15
PRJNA1176539	31	2	29	0	1	29	1	1	30	0	1	29	1	1	4	26
PRJNA1185243	8	0	8	0	0	8	0	0	8	0	0	3	5	0	0	8
PRJNA321028	16	0	16	0	0	16	0	0	16	0	0	16	0	0	3	13
PRJNA321087	19	0	19	0	0	18	1	1	16	2	2	14	3	0	0	19
PRJNA321967	12	0	12	0	1	11	0	1	11	0	1	11	0	0	6	6
PRJNA352875	12	0	12	0	0	12	0	0	12	0	0	11	1	0	7	5
PRJNA373978	15	0	15	0	0	15	0	0	15	0	6	8	1	0	0	15
PRJNA378952	3	0	3	0	0	3	0	0	3	0	1	1	1	0	0	3
PRJNA381757	13	0	13	0	0	13	0	0	13	0	0	12	1	0	5	8
PRJNA384289	14	0	14	0	0	14	0	0	14	0	0	14	0	0	0	14
PRJNA386992	21	0	21	0	0	21	0	0	21	0	0	20	1	0	0	21
PRJNA397941	43	0	43	0	0	43	0	0	43	0	0	43	0	0	19	24
PRJNA416439	48	0	48	0	0	48	0	0	48	0	0	48	0	0	5	43
PRJNA419934	20	0	20	0	1	19	0	0	20	0	0	17	3	0	1	19
PRJNA479479	12	0	12	0	0	12	0	0	12	0	0	12	0	0	5	7
PRJNA509121	39	0	39	0	0	39	0	0	39	0	0	39	0	1	38	0
PRJNA528522	19	0	19	0	0	19	0	0	19	0	0	19	0	0	18	1
PRJNA544334	28	0	28	0	0	28	0	0	28	0	0	25	3	0	18	10
PRJNA610985	9	0	9	0	0	9	0	0	9	0	0	9	0	0	0	9
PRJNA623750	12	0	12	0	0	12	0	0	12	0	0	12	0	0	8	4
PRJNA625628	11	0	11	0	0	11	0	0	11	0	0	10	1	0	1	10
PRJNA634200	30	0	30	0	0	30	0	0	30	0	0	30	0	0	0	30
PRJNA664293	12	0	12	0	0	12	0	0	12	0	0	12	0	0	12	0
PRJNA673295	12	0	12	0	0	12	0	0	12	0	0	12	0	0	12	0
PRJNA673745	12	0	12	0	0	12	0	0	12	0	0	12	0	0	8	4
PRJNA734133	7	0	7	0	0	7	0	0	7	0	0	7	0	0	4	3
PRJNA752868	20	0	20	0	0	20	0	0	20	0	0	20	0	0	20	0
PRJNA767228	15	0	15	0	0	15	0	0	15	0	0	15	0	0	0	15
PRJNA786266	13	0	12	1	1	11	1	0	13	0	1	9	3	0	5	8
PRJNA788948	19	0	19	0	0	19	0	0	19	0	0	18	1	0	1	18
PRJNA838478	12	0	12	0	0	12	0	0	12	0	0	12	0	0	2	10
PRJNA876028	6	0	6	0	0	6	0	0	6	0	0	6	0	0	0	6
PRJNA903521	11	0	11	0	0	11	0	0	11	0	0	11	0	0	2	9
PRJNA976462	32	0	32	0	0	32	0	0	32	0	0	31	1	0	25	7
PRJNA987832	12	0	12	0	0	12	0	0	10	2	0	12	0	0	7	5
