BioProject,Organism,Instrument_Model,Library_Layout,Total_SRRs,Total_Classes,Classes_with_Replicates,Eligible_SRRs,Included_in_PyDESeq2,Reason_for_Exclusion
PRJNA1014965,Homo sapiens,Illumina HiSeq 2500,PAIRED,37,2,2,37,Yes,
PRJNA1105191,Homo sapiens,Illumina HiSeq X,PAIRED,33,11,11,33,Yes,
PRJNA1120369,Homo sapiens,Illumina NovaSeq 6000,PAIRED,38,3,3,38,Yes,
PRJNA1127555,Homo sapiens,Illumina HiSeq 2000,PAIRED,12,3,3,12,Yes,
PRJNA1133701,Homo,Illumina NovaSeq 6000,PAIRED,36,12,12,36,Yes,
PRJNA1165739,Homo sapiens,NextSeq 2000,PAIRED,40,4,4,40,Yes,
PRJNA1175639,Homo sapiens,NextSeq 2000,PAIRED,16,4,4,16,Yes,
PRJNA1176539,metagenome,"HiSeq X Ten, Illumina NovaSeq 6000, NextSeq 1000, NextSeq 2000, NextSeq 500, NextSeq 550","PAIRED, SINGLE",37,13,7,31,Yes,
PRJNA1185243,Homo sapiens,"Illumina MiSeq, Illumina NovaSeq 6000",PAIRED,8,5,3,6,Yes,
PRJNA321028,Homo sapiens,NextSeq 500,PAIRED,16,3,3,16,Yes,
PRJNA321087,Homo sapiens,Illumina HiSeq 2500,PAIRED,19,4,4,19,Yes,
PRJNA321967,Homo sapiens,Illumina HiSeq 2500,PAIRED,12,4,4,12,Yes,
PRJNA352875,Homo sapiens,Illumina HiSeq 2500,SINGLE,12,4,4,12,Yes,
PRJNA373978,Homo sapiens,Illumina HiSeq 2000,SINGLE,15,2,2,15,Yes,
PRJNA381757,Homo sapiens,NextSeq 500,"PAIRED, SINGLE",13,3,2,12,Yes,
PRJNA384289,Homo sapiens,Illumina HiSeq 2500,PAIRED,14,2,2,14,Yes,
PRJNA386992,Homo sapiens,"HiSeq X Ten, Illumina HiSeq 2000",PAIRED,21,2,2,21,Yes,
PRJNA397941,Homo sapiens,"Illumina HiSeq 1500, Illumina HiSeq 3000, NextSeq 500",SINGLE,43,15,13,41,Yes,
PRJNA416439,Homo sapiens,Illumina HiSeq 4000,PAIRED,48,2,2,48,Yes,
PRJNA419934,Homo sapiens,Illumina HiSeq 4000,"PAIRED, SINGLE",21,14,7,14,Yes,
PRJNA451395,Homo sapiens,Illumina HiSeq 2500,PAIRED,10,3,3,10,Yes,
PRJNA479479,Homo sapiens,Illumina HiSeq 2000,PAIRED,12,4,4,12,Yes,
PRJNA509121,Homo sapiens,Illumina HiSeq 4000,SINGLE,39,6,6,39,Yes,
PRJNA528522,Homo sapiens,Illumina HiSeq 2500,PAIRED,19,6,4,17,Yes,
PRJNA544334,Homo sapiens,Illumina HiSeq 2500,PAIRED,28,15,13,26,Yes,
PRJNA610985,Homo sapiens,"Illumina HiSeq 4000, NextSeq 500","PAIRED, SINGLE",9,3,3,9,Yes,
PRJNA623750,Homo sapiens,Illumina HiSeq 2500,PAIRED,12,4,4,12,Yes,
PRJNA625628,Homo sapiens,"Illumina HiSeq 4000, Illumina NovaSeq 6000",PAIRED,11,2,2,11,Yes,
PRJNA634200,Homo sapiens,Illumina HiSeq 2500,PAIRED,30,4,4,30,Yes,
PRJNA664293,Homo sapiens,Illumina HiSeq 2500,"PAIRED, SINGLE",12,6,6,12,Yes,
PRJNA673295,Homo sapiens,Illumina HiSeq 4000,PAIRED,12,4,4,12,Yes,
PRJNA673745,Homo sapiens,Illumina HiSeq 4000,PAIRED,12,4,4,12,Yes,
PRJNA734133,Homo sapiens,"Illumina HiSeq 1500, Illumina HiSeq 2500, Illumina HiSeq 4000","PAIRED, SINGLE",7,2,2,7,Yes,
PRJNA752868,Homo sapiens,Illumina HiSeq 4000,PAIRED,20,2,2,20,Yes,
PRJNA767228,Homo sapiens,Illumina HiSeq 2500,PAIRED,15,5,5,15,Yes,
PRJNA786266,Homo sapiens,Illumina NovaSeq 6000,PAIRED,15,3,3,15,Yes,
PRJNA788948,Homo sapiens,NextSeq 2000,PAIRED,19,14,4,9,Yes,
PRJNA838478,Homo sapiens,Illumina NovaSeq 6000,PAIRED,12,4,2,10,Yes,
PRJNA876028,Homo sapiens,Illumina NovaSeq 6000,PAIRED,6,2,2,6,Yes,
PRJNA903521,Homo sapiens,"HiSeq X Ten, Illumina NovaSeq 6000",PAIRED,11,6,5,10,Yes,
PRJNA976462,Homo sapiens,Illumina NovaSeq 6000,PAIRED,32,9,9,32,Yes,
PRJNA987832,Homo sapiens,HiSeq X Ten,PAIRED,12,6,6,12,Yes,
PRJNA1014106,Homo sapiens,"GridION, Illumina NovaSeq 6000","PAIRED, SINGLE",4,1,1,0,No,Only 1 class exists (DESeq2 requires >= 2 to compare)
PRJNA316201,Homo sapiens,"Illumina HiSeq 3000, Illumina HiSeq 4000, NextSeq 500","PAIRED, SINGLE",8,1,1,0,No,Only 1 class exists (DESeq2 requires >= 2 to compare)
PRJNA378952,Homo sapiens,"HiSeq X Ten, Illumina Genome Analyzer II, Illumina HiSeq 2000, Illumina HiSeq 2500","PAIRED, SINGLE",4,2,1,0,No,"Has 2 classes, but only 1 have replicates"
PRJNA381115,Homo sapiens,Illumina HiSeq 2500,PAIRED,18,18,0,0,No,"Has 18 classes, but only 0 have replicates"
PRJNA480287,Homo sapiens,"Illumina HiSeq 2500, NextSeq 500","PAIRED, SINGLE",1,1,0,0,No,"Only 1 class exists, and it has no replicates"
PRJNA996357,Homo sapiens,Illumina NovaSeq 6000,PAIRED,11,11,0,0,No,"Has 11 classes, but only 0 have replicates"
